State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
FL,Fort Pierce,34947,27.4565219,-80.3499109,15719,9387,15634,409.029109324373
FL,Fort Pierce,34951,27.5388407,-80.4004303,56315,55771,32706,291.211222506602
FL,Fort Pierce,34981,27.3933006,-80.3581698,58157,50017,45363,567.111983047535
FL,Fort Pierce,34982,27.3644296,-80.3097838,34885,31207,22115,873.847158603952
FL,Ruskin,33573,27.7593368,-82.3445764,77866,70415,49460,412.976075897322
FL,Port St Lucie,34952,27.3181587,-80.2255549,62892,55748,49516,84.795239995094
FL,Port St Lucie,34983,27.3096245,-80.3356834,66740,64627,39720,179.223729297144
FL,Port St Lucie,34984,27.3059528,-80.3610721,53968,48523,37400,509.606012128857
FL,Port St Lucie,34953,27.2371491,-80.3929253,61695,300000,39215,1011.05739129005
FL,Port St Lucie,34987,27.3925756,-80.5551917,80418,70047,65444,336.851215307442
FL,Milton,32570,30.6275947,-87.0908629,52262,55854,28350,593.631315833963
FL,Ruskin,33570,27.6841095,-82.5082589,46865,34182,34741,527.051820426864
FL,Gulf Breeze,32563,30.3883418,-87.0990284,66881,58344,48901,312.114231086096
FL,Navarre,32566,30.403391,-86.8755829,119511,86982,76659,162.585059954486
FL,Sarasota,34234,27.3531833,-82.5417478,74695,55279,61377,392.915595678496
FL,Sarasota,34237,27.3339084,-82.5067585,45171,30791,34594,459.591070397255
FL,Sarasota,34235,27.3784981,-82.490061,72382,66510,44494,189.954100410355
FL,Sarasota,34232,27.3431165,-82.4717718,66680,62213,45933,463.444048626652
FL,Sarasota,34241,27.290213,-82.4374025,57189,53935,32747,496.243492265789
FL,Sarasota,34233,27.2758512,-82.5071923,57367,300000,41778,191.794859617434
FL,Sarasota,34231,27.2873457,-82.5254892,70095,52320,55686,200.424773706165
FL,Sarasota,34238,27.2490775,-82.489621,61080,54929,49337,579.54213848337
FL,Venice,34292,27.1200414,-82.4083801,65114,300000,47783,589.611056092672
FL,Venice,34285,27.0852946,-82.4521255,74056,300000,57937,213.793973651533
FL,Englewood,34223,26.9567741,-82.3483095,29170,22923,29638,363.425230084324
FL,North Port,34288,27.0725245,-82.153123,61354,61041,31403,1990.59498613948
FL,Venice,34293,27.0611396,-82.3275521,86199,66806,61275,241.052944201004
FL,Melbourne,32935,28.1394723,-80.6580971,52854,41753,42050,1751.64130872681
FL,Vero Beach,32963,27.6389788,-80.3578056,104609,81801,79727,303.347099296667
FL,Sanford,32771,28.7921731,-81.2501237,49486,44110,37961,614.543809737647
FL,Lake Mary,32746,28.7690854,-81.366507,112671,92052,82023,461.339608998281
FL,Sanford,32773,28.7759957,-81.2827979,34633,24002,31498,494.21272336377
FL,Winter Springs,32708,28.68389,-81.2509395,77808,63310,58705,438.809824123451
FL,Oviedo,32765,28.6275294,-81.2289096,64494,45537,58474,433.445952042487
FL,Vero Beach,32966,27.627496,-80.4544024,43308,32726,40048,895.201213565674
FL,Altamonte Springs,32701,28.6913411,-81.3676936,100890,79320,66929,79.7908513222633
FL,Altamonte Springs,32714,28.6748939,-81.3955444,41946,32441,37362,248.017944122739
FL,Fern Park,32730,28.6486902,-81.3397069,52572,41837,39203,212.990528634621
FL,Fellsmere,32948,27.6835331,-80.7077174,45432,30743,36088,1574.56066572865
FL,Casselberry,32707,28.6641039,-81.314908,48528,47701,34949,582.040261043067
FL,Sumterville,33585,28.771936,-82.035899,44685,32624,41254,185.727533052954
FL,Lady Lake,32159,28.9412722,-81.9588974,57257,43419,46455,422.421324203152
FL,Wildwood,34785,28.8895385,-82.1604698,41352,33151,33802,350.55667276966
FL,Live Oak,32064,30.3075772,-82.9134808,30922,26493,21229,262.657777638509
FL,Perry,32347,30.1641998,-83.789485,66997,41624,53454,166.193031113795
FL,Perry,32348,29.9131127,-83.5280909,48955,300000,35389,463.726511109243
FL,Lake Butler,32054,30.0614072,-82.3799754,41693,34224,34379,405.617212778237
FL,Ormond Beach,32174,29.347958,-81.06897,45472,38699,35607,495.448755474935
FL,Daytona Beach,32117,29.2522161,-81.0976712,29601,25573,20729,1033.13478276095
