State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
NY,New Berlin,13411,42.5921336,-75.4207779,66823,66701,45671,156.622377252233
NY,Oxford,13830,42.458192,-75.7308689,57543,300000,31907,175.393504855863
NY,Greene,13778,42.3706616,-75.7399595,72155,57383,56343,208.489577576489
NY,Mooers,12958,44.9014661,-73.6691956,53593,42147,40579,366.089306501266
NY,West Chazy,12992,44.7881932,-73.5029266,74274,63649,55088,292.685222090805
NY,Saranac,12981,44.6597454,-73.5844214,82523,300000,58481,147.627306834877
NY,Wappingers Falls,12590,41.603212,-73.9328164,89987,71121,64981,477.600645241072
NY,Chatham,12037,42.4255821,-73.5820765,114504,300000,77514,117.726327440472
NY,Craryville,12521,42.2292405,-73.521396,86635,73983,62753,185.39113109873
NY,Germantown,12526,42.1389438,-73.7971179,71953,58859,66933,288.916722894909
NY,Pine Plains,12567,42.0606071,-73.713148,79003,69599,55809,163.859214510563
NY,Homer,13077,42.7079288,-76.1728673,87055,70534,68906,103.661074217815
NY,Mcgraw,13101,42.5870167,-76.1131464,68488,67164,41633,230.553187826415
NY,Cortland,13045,42.6048946,-76.1921961,50358,37137,50007,162.722967795862
NY,Davenport,13750,42.3808093,-74.8611393,61178,50593,49851,202.858004218039
NY,Walton,13856,42.1735179,-75.12695,24505,14313,21074,220.195087979519
NY,South Kortright,13842,42.3066571,-74.7172235,56633,53981,34962,200.456515968474
NY,Margaretville,12455,42.1603708,-74.6280754,39097,30082,38496,234.855145471878
NY,Poughquag,12570,41.588,-73.6958732,132844,300000,67370,66.6609633699703
NY,Dover Plains,12522,41.6999367,-73.5656742,46380,39792,39262,295.583423686268
NY,Beacon,12508,41.4973177,-73.9757369,77515,65998,62989,887.156512415167
NY,Hopewell Junction,12533,41.5134707,-73.8077327,86452,300000,55633,175.024476870307
NY,Red Hook,12571,41.9780963,-73.7830124,83979,66710,57022,170.156813008271
NY,Pawling,12564,41.5636087,-73.5993385,66055,54448,51969,232.754996273863
NY,Poughkeepsie,12601,41.6333135,-73.9003757,101483,300000,69097,120.627107886431
NY,Durham,12422,42.4794765,-74.1786077,67997,51025,52447,439.81868643098
NY,Millbrook,12545,41.7845676,-73.694326,89591,74584,69880,333.851531538896
NY,Buffalo,14220,42.8476264,-78.8171281,59820,50685,41523,1158.02223544419
NY,Buffalo,14204,42.884142,-78.8600283,26724,17823,25663,380.249201690141
NY,Buffalo,14212,42.8813926,-78.8352386,27866,16456,30309,401.114840777334
NY,Buffalo,14206,42.8935965,-78.8112846,19808,6524,29889,133.045909292372
NY,Buffalo,14211,42.8987939,-78.8342606,16363,12673,11680,230.991299969997
NY,Buffalo,14208,42.9094528,-78.8489615,34820,22386,34645,250.557279218165
NY,Buffalo,14214,42.9341615,-78.8365638,34645,29724,26461,293.928852619795
NY,Buffalo,14215,42.9447596,-78.8071734,46912,300000,37213,246.528236599161
NY,Buffalo,14216,42.948723,-78.848836,88980,74421,69377,309.218773436119
NY,Buffalo,14209,42.9294775,-78.8605447,87192,300000,53753,111.459867384155
NY,Buffalo,14207,42.9511733,-78.886613,24168,16081,23899,216.630268613742
NY,Buffalo,14213,42.917721,-78.8964905,34713,26293,28273,356.52160724296
NY,Buffalo,14201,42.898553,-78.8761113,57330,34268,54103,366.956663639911
NY,Buffalo,14202,42.889044,-78.8826278,37906,22618,36511,297.649950072549
NY,Grand Island,14072,43.0423473,-78.9689574,89553,75121,58016,451.11062379449
NY,Tonawanda,14150,43.0134529,-78.8803895,55428,58012,36519,223.779418098484
NY,Buffalo,14223,42.975527,-78.8343789,57037,50234,35436,237.822605067334
NY,Kenmore,14217,42.9662492,-78.8627824,91650,300000,55567,184.457916234261
NY,Amherst,14228,43.037066,-78.816043,89223,70840,67463,205.683452825251
NY,Amherst,14226,42.9898344,-78.8092332,58134,52930,42002,329.414459672919
NY,Depew,14043,42.903506,-78.7100715,55138,300000,30448,169.895162340926
NY,Cheektowaga,14225,42.9206496,-78.7456746,61193,51588,43913,326.385174267432
NY,West Seneca,14224,42.865845,-78.725288,56268,52280,44013,362.27068059689
NY,Lackawanna,14218,42.8208162,-78.7873853,70152,300000,46090,153.96137619623
NY,Blasdell,14219,42.7965822,-78.8323867,64622,59795,40650,180.291410015994
NY,Hamburg,14075,42.7838068,-78.8444927,53320,50576,32880,194.023253137261
NY,Lake View,14085,42.7234383,-78.9255412,86803,88329,50710,139.519693647097
NY,Orchard Park,14127,42.7318926,-78.7674166,100901,89747,65564,213.819601858424
NY,East Aurora,14052,42.7616733,-78.616437,77128,61820,61839,503.909738331883
NY,Clarence,14031,42.9831277,-78.6142583,83414,64219,61951,380.318315612736
NY,Alden,14004,42.8988786,-78.4946069,66095,58163,48979,331.780989827609
NY,Derby,14047,42.7010841,-78.9869519,72810,300000,43384,325.951885376474
NY,Angola,14006,42.6271037,-79.0819518,76462,68790,57090,280.883234980943
NY,Springville,14141,42.5453281,-78.7030487,65235,50571,53966,570.078542696566
NY,Gowanda,14070,42.4901309,-78.8564325,74949,65316,50681,248.45362732165
NY,Lake Placid,12946,44.3727983,-73.892043,71151,59777,52405,407.644827462784
NY,Elizabethtown,12932,44.2939648,-73.5215464,67668,54045,58427,148.325542869382
NY,Schroon Lake,12870,43.8554331,-73.7616287,47166,30134,38811,109.795927441021
NY,Fort Covington,12937,44.9394634,-74.4801977,46446,40129,33926,228.793026174112
NY,Malone,12953,44.7849676,-74.2584168,44806,37020,35266,258.555958993351
NY,St Regis Falls,12980,44.5271055,-74.4235285,108132,88223,71078,56.1613433211624
NY,Saranac Lake,12983,44.3090909,-74.2404396,86262,300000,68106,138.293025559206
NY,Broadalbin,12025,43.0621366,-74.2456371,65562,57218,40925,253.685525086607
NY,East Amherst,14051,43.0465236,-78.710354,95585,80834,59326,605.492820822522
NY,Andover,14806,42.1465916,-77.8149561,55285,47207,42803,1055.35690207442
NY,Pavilion,14525,42.9080498,-78.0691721,60369,60754,40304,185.459004516631
NY,Coeymans,12045,42.4200482,-73.8625875,99090,300000,65665,136.22733176429
NY,Tannersville,12485,42.1655144,-74.1523619,65669,20312,90257,145.257768868147
NY,Cairo,12413,42.2811931,-74.0328877,70839,300000,51810,241.658512630052
NY,Catskill,12414,42.1910934,-73.91636,67640,52252,55289,234.153971102665
NY,Richfield Springs,13439,42.9179832,-75.0544949,64309,53713,44709,182.659296059282
NY,Mohawk,13407,43.0093769,-75.0071392,42490,36297,33079,289.695213380123
NY,Van Hornesville,13475,42.964074,-74.8279088,69317,59873,49323,318.648897060601
NY,Ilion,13357,43.0456953,-75.0278155,73469,65609,47586,410.133626009195
NY,Newport,13416,43.1717791,-74.9629101,68238,59899,43217,228.524390226398
NY,Old Forge,13420,43.7372469,-74.9352952,96425,300000,69244,131.2917900492
NY,Chaumont,13622,44.0856691,-76.2328827,59350,44764,50950,203.390460797804
NY,La Fargeville,13656,44.1226236,-75.9227047,83940,300000,52214,95.4273096764016
NY,Evans Mills,13637,44.0544465,-75.799726,0,0,0,0.0
NY,Black River,13612,44.0423316,-75.7508798,117568,300000,35106,5.46586306948511
NY,Brooklyn,11232,40.6538976,-74.0044859,59226,47512,55894,138.85433493849
NY,Brooklyn,11215,40.6754018,-73.9889703,80681,73722,50561,98.7271717185503
NY,Akron,14001,43.0211795,-78.4939273,60617,48026,49981,714.77107980239
NY,Brooklyn,11224,40.5765299,-73.9882138,53633,44938,33744,169.130209673571
NY,North Collins,14111,42.5733459,-78.8594723,68373,65129,40281,666.663966640154
NY,Brooklyn,11237,40.6970293,-73.9240384,66517,62611,51711,140.722334847196
NY,Brooklyn,11218,40.6276229,-73.9735164,55584,44950,49295,389.177381477869
TN,Adamsville,38310,35.234119,-88.370871,75476,300000,47599,11.7995119684775
TN,Ardmore,35739,35.004441,-86.850713,46603,36690,39282,302.52257141783
TN,Erwin,37650,36.122229,-82.42027,41302,23290,34477,476.15304487647
TN,Nashville,37204,36.119618,-86.767453,62867,54579,44883,231.657273905788
TN,Crossville,38571,36.061625,-85.035721,59994,300000,45946,68.3988159526381
TN,Brighton,38011,35.557046,-89.784606,57345,39486,47700,118.663614792983
TN,Mcminnville,37110,35.725334,-85.91994,52874,46356,34641,66.364028989118
TN,Clarkrange,38553,36.18572,-85.009605,39775,42278,22332,215.125740571312
TN,Collierville,38017,35.048925,-89.697076,117661,108961,68805,5461.71312368715
TN,Covington,38019,35.565812,-89.648088,39541,27390,39185,2757.80287378553
TN,Dayton,37321,35.492128,-85.01186,38624,26763,37614,2099.8558654589
TN,Copperhill,37317,35.036023,-84.385511,38100,22040,42997,118.295011915141
TN,Elizabethton,37643,36.336207,-82.232529,41789,29128,41854,4462.9007840912
TN,New Johnsonville,37134,36.067853,-88.007075,41534,300000,30057,73.9988532563496
TN,Knoxville,37922,35.876179,-84.180016,0,0,0,0.0
TN,Gadsden,38337,35.776877,-88.986111,43660,31132,43420,132.696785890165
TN,Gleason,38229,36.217371,-88.610663,40819,27930,37888,429.717779755031
TN,Greenbrier,37073,36.42622,-86.791085,63496,49438,48806,1588.04009934595
TN,Harrison,37341,35.127035,-85.146416,67697,54526,45721,1789.78757189764
TN,Hohenwald,38462,35.551881,-87.553613,42956,35966,36608,1179.50870506221
TN,Huntsville,37756,36.410598,-84.503887,32358,19463,32877,405.549666634516
TN,Johnson City,37604,36.342325,-82.380915,56951,39548,56634,17878.2291597511
TN,Lafayette,37083,36.524343,-86.031552,43610,29340,40596,1627.06511481683
TN,Lawrenceburg,38464,35.249606,-87.332002,40974,29150,39090,3451.02304966123
TN,Lookout Mtn,37350,34.994485,-85.351577,130813,119866,78897,252.450392631661
TN,Mckenzie,38201,36.13796,-88.508308,42665,300000,31308,34.6990579173122
TN,Maury City,38050,35.814364,-89.223868,39198,27753,35028,225.159674772715
TN,Reagan,38368,35.377853,-88.36618,24221,14171,20488,20.5325346553856
TN,Monteagle,37356,35.231077,-85.843003,54378,53032,35430,149.660153152545
TN,Mt. Juliet,37122,36.208411,-86.508772,82891,75879,53134,4671.93066432304
TN,New Market,37820,36.095329,-83.557093,56431,47912,43074,336.117322702731
TN,Gray,37615,36.426423,-82.431675,57551,39594,49050,1330.26196797653
