Name,Type,Address,Zip Code
159,hotdogs,6750WSunsetBlvd,90028
160,salad,6805MelroseAve,90038
161,hotdog,709NLaBreaAve,90038
162,breakfast_brunch,6250HollywoodBlvd,90028
163,chicken_wings,698SVermontAve,90005
164,chicken_wings,207SVermontAve,90004
165,hotdogs,6254LexingtonAvenue,90038
166,hotdogs,6300SantaMonicaBlvd,90038
167,hotdogs,1413NVine,90028
168,burgers,6201HollywoodBlvd,90028
169,chickenshop,1523NLaBreaAve,90028
170,sandwiches,1300NHighlandAve,90028
171,sandwiches,7111MelroseAve,90046
172,korean,6254SantaMonicaBlvd,90038
173,chickenshop,3462WilshireBlvd,90010
174,korean,3959WilshireBlvd,90010
175,burgers,1305NVermontAve,90027
176,hotdogs,695SWesternAve,90005
177,soulfood,1514NGowerSt,90028
178,breakfast_brunch,5519HollywoodBlvd,90028
179,chicken_wings,450SWesternAve,90020
180,tradamerican,3600W6thSt,90020
181,burgers,5201WilshireBlvd,90036
182,hotdogs,501SWestern,90020
183,pizza,3900WilshireBlvd,90010
184,chicken_wings,3003WOlympicBlvd,90006
185,hotdogs,459SVermontAve,90020
186,hotdog,450SWesternAve,90020
187,gluten_free,615NWesternAve,90004
188,mexican,5515WilshireBlvd,90036
189,chickenshop,3516W8thSt,90005
190,burgers,5802SantaMonicaBlvd,90038
191,cheesesteaks,4501FountainAve,90029
192,burgers,2575WPicoBlvd,90006
193,asianfusion,4220BeverlyBlvd,90004
194,burgers,217NLarchmontBlvd,90004
195,hotdog,3619WOlympicBlvd,90019
196,chicken_wings,1551W7thSt,90017
197,hotdogs,103SRampartBlvd,90057
198,burgers,1243NHighlandAve,90038
199,burgers,1611NVermontAve,90027
200,chicken_wings,698SVermontAve,90005
201,korean,3959WilshireBlvd,90010
202,chickenshop,970NWesternAve,90029
203,chickenshop,3516W8thSt,90005
204,burgers,615NWesternAve,90004
205,hotdogs,3821BeverlyBlvd,90004
206,hotdogs,695SWesternAve,90005
207,burgers,3601W3rdSt,90020
208,korean,3959WilshireBlvd,90010
209,chicken_wings,361SWesternAve,90020
210,pizza,3900WilshireBlvd,90010
211,latin,764SWesternAve,90005
212,burgers,1231SLaBreaAve,90019
213,burgers,2575WPicoBlvd,90006
214,bbq,1708SWesternAve,90006
215,chicken_wings,3003WOlympicBlvd,90006
216,chicken_wings,1551W7thSt,90017
217,chickenshop,3462WilshireBlvd,90010
218,chicken_wings,450SWesternAve,90020
219,korean,3250WOlympicBlvd,90006
220,mexican,5515WilshireBlvd,90036
221,salad,6805MelroseAve,90038
222,chicken_wings,207SVermontAve,90004
223,hotdogs,501SWestern,90020
224,burgers,5201WilshireBlvd,90036
225,tradamerican,3600W6thSt,90020
226,hotdogs,459SVermontAve,90020
227,burgers,5550WilshireBlvd,90036
228,southern,1262CrenshawBlvd,90019
229,hotdog,450SWesternAve,90020
230,hotdogs,7009SunsetBlvd,90028
231,hotdogs,6300SantaMonicaBlvd,90038
232,hotdog,3619WOlympicBlvd,90019
233,mexican,800SouthLaBreaAve,90036
234,foodtrucks,1515SLaBreaAve,90019
235,hotdogs,6750WSunsetBlvd,90028
236,hotdog,709NLaBreaAve,90038
237,chickenshop,1523NLaBreaAve,90028
238,hotdogs,103SRampartBlvd,90057
239,sandwiches,3377WilshireBlvd,90010
240,hotdogs,3029W8thSt,90005
241,asianfusion,4220BeverlyBlvd,90004
242,chicken_wings,301SWesternAve,90020
243,sandwiches,7111MelroseAve,90046
244,southern,5065HollywoodBlvd,90027
245,pizza,2190WWashingtonBvld,90018
246,hotdogs,6254LexingtonAvenue,90038
247,sandwiches,3274W6thSt,90020
248,sandwiches,1300NHighlandAve,90028
249,burgers,3150WilshireBlvd,90010
250,chicken_wings,698SVermontAve,90005
251,chickenshop,7297thSt,90017
252,donuts,314WOlympicBlvd,90015
253,burgers,400W8thSt,90014
254,chickenshop,3335SFigueroaSt,90007
255,chickenshop,970NWesternAve,90029
256,foodtrucks,2377WPicoBlvd,90006
257,chicken_wings,3003WOlympicBlvd,90006
258,chickenshop,3462WilshireBlvd,90010
259,latin,2215SVermontAve,90007
260,hotdogs,660SFigueroaSt,90017
261,chickenshop,3516W8thSt,90005
262,hotdogs,1615SBroadway,90015
263,chickenshop,5022MelroseAve,90038
264,chicken_wings,207SVermontAve,90004
265,hotdogs,201WWashingtonBlvd,90007
266,soulfood,800WOlympicBlvd,90015
267,burgers,1011SFigueroaSt,90015
268,bbq,1708SWesternAve,90006
269,hotdogs,3821BeverlyBlvd,90004
270,mexican,541SSpringSt,90013
271,korean,3250WOlympicBlvd,90006
272,southern,1262CrenshawBlvd,90019
273,hotdogs,3758SFigueroaSt,90007
274,tradamerican,888SFigueroaSt,90017
275,sandwiches,3377WilshireBlvd,90010
276,chicken_wings,361SWesternAve,90020
277,korean,3959WilshireBlvd,90010
278,burgers,3601W3rdSt,90020
279,chinese,2828SFigueroaSt,90007
280,tradamerican,1657W3rdSt,90017
281,tradamerican,555SSpringSt,90013
282,chickenshop,557SSpringSt,90013
283,tradamerican,3600W6thSt,90020
284,hotdogs,3029W8thSt,90005
285,tacos,609SSpringSt,90014
286,hotdogs,103SRampartBlvd,90057
287,hotdog,2528SFigueroaSt,90007
288,burgers,530W27thSt,90007
289,pizza,2190WWashingtonBvld,90018
290,sandwiches,3274W6thSt,90020
291,mexican,645EWashingtonBlvd,90015
292,hotdog,3619WOlympicBlvd,90019
293,burgers,2120WPicoBlvd,90006
294,hotdog,450SWesternAve,90020
295,burgers,724SSpringSt,90014
296,waffles,358W38thSt,90037
297,cheesesteaks,358W38thSt,90037
298,salad,3335SFigueroaSt,90007
299,hotdogs,1938W3rdSt,90057
300,chickenshop,7297thSt,90017
301,burgers,2575WPicoBlvd,90006
302,burgers,2575BeverlyBlvd,90057
303,hotdogs,3758SFigueroaSt,90007
